,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
31,Paraorthograptus pacificus,7.21,11.54,0.46,1.33,0,0.55,0,0.3,4.65,5.95,,,0,0.16,,,0,0.3,0,1.15,6.44,8,,,,,,,,,,,,,,,0,0.28,,NaN,Graptolite
32,Appendispinograptus leptothecalis,8.23,11.64,0.46,0.56,0,0.8,,,,,,,,,,,,,0,0.63,6,7.54,,,,,,,,,,,,,,,,,,NaN,Graptolite
33,Appendispinograptus venustus,8.23,8.75,0,0.56,,,,,,,,,,,,,,,,,5.72,6.56,,,,,,,,,,,,,,,,,,NaN,Graptolite
34,Dicellograptus anceps,8.23,8.75,,,,,,,,,,,,,,,,,,,0.3,5.72,,,,,,,,,,,,,,,,,,NaN,Graptolite
35,Paraorthograptus brevispinus,8.23,9.85,,,0.3,0.8,,,,,,,,,,,,,,,7.66,7.8,,,,,,,,,,,,,,,,,,NaN,Graptolite
36,Tangyagraptus typicus,8.23,9.45,0.46,0.56,0,0.3,,,,,,,,,,,,,,,6.56,6.7,,,,,,,,,,,,,,,,,,NaN,Graptolite
37,Normalograptus mohawkensis,9.11,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
38,Paraplegmatograptus uniformis,9.45,11.54,,,,,,,,,,,0,0.24,0,0.1,,,0,0.36,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
39,Paraorthograptus affinis,10.5,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
40,Appendispinograptus sinicus,10.7,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
41,Dicellograptus tumidus,10.7,10.99,,,,,,,,,,,,,,,,,,,5.72,5.9,,,,,,,,,,,,,,,,,,NaN,Graptolite
42,Diceratograptus mirus,11.34,11.54,,,0.55,0.8,,,,,,,,,,,0,0.3,0.77,0.97,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
