Event_Name,Event_number,Type,Depth,FIX
Normalograptus angustus,Graptolite,1,-2.92788693692859e+15,0
Normalograptus angustus,Graptolite,2,1.2763620338025e+28,0
Korenograptus lungmaensis,Graptolite,1,-7.61697041210533,0
Korenograptus lungmaensis,Graptolite,2,2.50885880121753e+28,0
Akidograptus ascensus,Graptolite,1,-2.92788693692859e+15,0
Akidograptus ascensus,Graptolite,2,5.40336068347529e+27,0
Korenograptus laciniosus,Graptolite,1,-7.61697041210533,0
Korenograptus laciniosus,Graptolite,2,3.23574153961281e+28,0
Metabolograptus bicaudatus,Graptolite,1,-2.92788693692859e+15,0
Metabolograptus bicaudatus,Graptolite,2,3.47078772934599e+27,0
Paraclimacograptus innotatus,Graptolite,1,2.08747161452327,0
Paraclimacograptus innotatus,Graptolite,2,2.50885880121753e+28,0
Parakidograptus acuminatus,Graptolite,1,-2.9,0
Parakidograptus acuminatus,Graptolite,2,1.08315485461419e+28,0
Normalograptus mirnyensis,Graptolite,1,-2.92788693692859e+15,0
Normalograptus mirnyensis,Graptolite,2,1.44768341821954e+28,0
Hirsutograptus sinitzini,Graptolite,1,3.4,0
Hirsutograptus sinitzini,Graptolite,2,5.40336068347529e+27,0
Hirsutograptus angustifolius,Graptolite,1,-7.61697041210533,0
Hirsutograptus angustifolius,Graptolite,2,303218590239515,0
Normalograptus ajjeri,Graptolite,1,-731971734232148,0
Normalograptus ajjeri,Graptolite,2,1.2763620338025e+28,0
Paramplexograptus paucispinus,Graptolite,1,-0.0207404898123054,0
Paramplexograptus paucispinus,Graptolite,2,4.18324698075583e+27,0
Normalograptus anjiensis,Graptolite,1,0,0
Normalograptus anjiensis,Graptolite,2,2.79898716841077e+15,0
Normalograptus targuii,Graptolite,1,1.3,0
Normalograptus targuii,Graptolite,2,768502251905964,0
Paramplexograptus kiliani,Graptolite,1,0,0
Paramplexograptus kiliani,Graptolite,2,3.02478070175439,0
Cystograptus ancestralis,Graptolite,1,5.4,0
Cystograptus ancestralis,Graptolite,2,626810206445554,0
Normalograptus rectangularis,Graptolite,2,4.22507945056091e+28,0
Atavograptus primitivus,Graptolite,2,4.958268184781e+26,0
Metabolograptus avitus,Graptolite,2,4.22507945056091e+28,0
Normalograptus rectangularis,Graptolite,1,1.41810897435897,0
Atavograptus primitivus,Graptolite,1,1.4,0
