Event_Name,Event_number,Type,Depth,FIX
Korenograptus lungmaensis,Graptolite,1,-4.94065645841247e-322,0
Korenograptus lungmaensis,Graptolite,2,6.20000000000009,0
Akidograptus ascensus,Graptolite,1,0.1,0
Akidograptus ascensus,Graptolite,2,6.2,0
Korenograptus laciniosus,Graptolite,1,0.85,0
Korenograptus laciniosus,Graptolite,2,6.20000000000009,0
Paraclimacograptus innotatus,Graptolite,1,1.63000165343915,0
Paraclimacograptus innotatus,Graptolite,2,6.20000000000009,0
Parakidograptus acuminatus,Graptolite,1,0,0
Parakidograptus acuminatus,Graptolite,2,6.20000000000004,0
Normalograptus mirnyensis,Graptolite,1,-4.94065645841247e-322,0
Normalograptus mirnyensis,Graptolite,2,6.20000000000002,0
Neodiplograptus parajanus,Graptolite,1,0.85,0
Neodiplograptus parajanus,Graptolite,2,6.20000000000009,0
Normalograptus ajjeri,Graptolite,1,0,0
Normalograptus ajjeri,Graptolite,2,6.2000000000001,0
Paramplexograptus wuningensis,Graptolite,1,1.63000165343915,0
Paramplexograptus wuningensis,Graptolite,2,6.2,0
Metabolograptus nanjingensis,Graptolite,1,0.85,0
Metabolograptus nanjingensis,Graptolite,2,3.9702380952381,0
Metabolograptus guizhouensis,Graptolite,1,0.484375,0
Metabolograptus guizhouensis,Graptolite,2,6.2,0
Normalograptus gracilis,Graptolite,2,6.20000000000009,0
Normalograptus lubricus,Graptolite,2,4,0
Normalograptus angustus,Graptolite,2,6.20000000000006,0
Metabolograptus avitus,Graptolite,2,5.97393096455096,0
Normalograptus gracilis,Graptolite,1,1.53125,0
Normalograptus lubricus,Graptolite,1,3.55,0
Paraorthograptus pacificus,Graptolite,2,1.53125,0
Metabolograptus extraordinarius,Graptolite,2,1.53125,0
Metabolograptus ojsuensis,Graptolite,2,1.53125,0
Metabolograptus avitus,Graptolite,1,0.484375,0
Appendispinograptus supernus,Graptolite,2,2.17377013305322,0
Dicellograptus minor,Graptolite,2,1.25,0
Normalograptus angustus,Graptolite,1,-4.94065645841247e-322,0
Appendispinograptus supernus,Graptolite,1,0.509779283216783,0
Dicellograptus minor,Graptolite,1,0.96875,0
Paraorthograptus pacificus,Graptolite,1,0.96875,0
Metabolograptus extraordinarius,Graptolite,1,0.96875,0
Metabolograptus ojsuensis,Graptolite,1,0.96875,0
Hirsutograptus sinitzini,Graptolite,2,6.20000000000004,0
Dictyonema cucurbitinum,Graptolite,2,6.2,0
Hirsutograptus comantis,Graptolite,2,6.2,0
Hirsutograptus sinitzini,Graptolite,1,3.0759114174516,0
Normalograptus anjiensis,Graptolite,2,5.35,0
Dictyonema cucurbitinum,Graptolite,1,5.35,0
Hirsutograptus comantis,Graptolite,1,3.32226648351648,0
Hirsutograptus longus,Graptolite,2,3.8125,0
Metabolograptus bicaudatus,Graptolite,2,5.73841984397428,0
Hirsutograptus angustifolius,Graptolite,2,3.84226190476191,0
Hirsutograptus longus,Graptolite,1,3.32226648351648,0
Metabolograptus bicaudatus,Graptolite,1,0.05,0
Paramplexograptus madernii,Graptolite,2,3.84226190476191,0
Normalograptus anjiensis,Graptolite,1,1.22094506126314,0
Neodiplograptus modestus,Graptolite,2,6.20000000000008,0
Paramplexograptus madernii,Graptolite,1,1.22094506126314,0
Korenograptus pseudotamariscus,Graptolite,2,3.60347222222222,0
Paramplexograptus kiliani,Graptolite,2,3.00786935188721,0
