Event_Name,Event_number,Type,Depth,FIX
Normalograptus angustus,Graptolite,1,-5.6288562677167e+27,0
Normalograptus angustus,Graptolite,2,122768125842121,0
Korenograptus lungmaensis,Graptolite,1,-5.6288562677167e+27,0
Korenograptus lungmaensis,Graptolite,2,417934045419983,0
Akidograptus ascensus,Graptolite,1,-5.6288562677167e+27,0
Akidograptus ascensus,Graptolite,2,0.682183673469388,0
Korenograptus laciniosus,Graptolite,1,-1.40721406692921e+27,0
Korenograptus laciniosus,Graptolite,2,1.29,0
Metabolograptus bicaudatus,Graptolite,1,-5.6288562677167e+27,0
Metabolograptus bicaudatus,Graptolite,2,0.621455782312925,0
Normalograptus premedius,Graptolite,1,0,0
Normalograptus premedius,Graptolite,2,512678661580780,0
Paraclimacograptus innotatus,Graptolite,1,0.0317656212859931,0
Paraclimacograptus innotatus,Graptolite,2,417934045419983,0
Parakidograptus acuminatus,Graptolite,1,0.00881797459082643,0
Parakidograptus acuminatus,Graptolite,2,1.29,0
Normalograptus mirnyensis,Graptolite,1,-5.6288562677167e+27,0
Normalograptus mirnyensis,Graptolite,2,64084832697598.4,0
Neodiplograptus parajanus,Graptolite,1,0,0
Neodiplograptus parajanus,Graptolite,2,417934045419983,0
Korenograptus pseudotamariscus,Graptolite,1,-2.81442813385835e+27,0
Korenograptus pseudotamariscus,Graptolite,2,417934045419983,0
Neodiplograptus modestus,Graptolite,1,0,0
Neodiplograptus modestus,Graptolite,2,417934045419983,0
Atavograptus primitivus,Graptolite,1,0.0772112211221122,0
Atavograptus primitivus,Graptolite,2,0.28,0
Hirsutograptus sinitzini,Graptolite,1,0.28,0
Hirsutograptus sinitzini,Graptolite,2,0.91,0
Paramplexograptus madernii,Graptolite,1,0.00444992576328368,0
Paramplexograptus madernii,Graptolite,2,0.91,0
Normalograptus ajjeri,Graptolite,1,0,0
Normalograptus ajjeri,Graptolite,2,153460157302651,0
Korenograptus jerini,Graptolite,1,0.040990099009901,0
Korenograptus jerini,Graptolite,2,0.850524114563355,0
Metabolograptus wangjiawanensis,Graptolite,1,-62506017415395,0
Metabolograptus wangjiawanensis,Graptolite,2,417934045419983,0
Normalograptus anjiensis,Graptolite,1,-5.6288562677167e+27,0
Normalograptus anjiensis,Graptolite,2,0.68438807904114,0
Hirsutograptus comantis,Graptolite,1,0.353333333333333,0
Hirsutograptus comantis,Graptolite,2,256339330790390,0
Metabolograptus guizhouensis,Graptolite,1,-1.40721406692921e+27,0
Metabolograptus guizhouensis,Graptolite,2,0.800524114563355,0
Hirsutograptus jideliensis,Graptolite,1,-2.11082110039376e+27,0
Hirsutograptus jideliensis,Graptolite,2,38365039325663,0
Hirsutograptus jinyangensis,Graptolite,1,0.0470297029702971,0
Hirsutograptus jinyangensis,Graptolite,2,76730078651325.6,0
Neodiplograptus anhuiensis,Graptolite,1,0.28,0
Neodiplograptus anhuiensis,Graptolite,2,0.91,0
Akidograptus cuneatus,Graptolite,1,0.39,0
Akidograptus cuneatus,Graptolite,2,0.800524114563355,0
Hirsutograptus similaris,Graptolite,1,0,0
Hirsutograptus similaris,Graptolite,2,256339330790390,0
Hirsutograptus tenuis,Graptolite,2,0.682183673469388,0
Hirsutograptus tenuis,Graptolite,1,0.437232804232804,0
Normalograptus targuii,Graptolite,2,0.712728988904516,0
Parakidograptus praematurus,Graptolite,2,0.406318681318681,0
Normalograptus targuii,Graptolite,1,-480714294671.131,0
Parakidograptus praematurus,Graptolite,1,-2.11082110039376e+27,0
Paramplexograptus paucispinus,Graptolite,2,61384062921060.6,0
Paramplexograptus wuningensis,Graptolite,2,0.95,0
Paramplexograptus paucispinus,Graptolite,1,-5.6288562677167e+27,0
Paramplexograptus wuningensis,Graptolite,1,0.0317656212859931,0
Metabolograptus avitus,Graptolite,2,441189542113997,0
Metabolograptus avitus,Graptolite,1,-2.81442813385838e+27,0
Hirsutograptus angustifolius,Graptolite,2,0.568809442558823,0
Neodiplograptus charis,Graptolite,2,0.0210891089108911,0
Metabolograptus rhizinus,Graptolite,2,0.0210891089108911,0
Metabolograptus extraordinarius,Graptolite,2,0.0172277227722772,0
Metabolograptus ojsuensis,Graptolite,2,0.0172277227722772,0
Metabolograptus rhizinus,Graptolite,1,0.0172277227722772,0
Amplexograptus latus,Graptolite,2,17413918559166.1,0
Metabolograptus extraordinarius,Graptolite,1,-1.40721406692921e+27,0
Metabolograptus daedalus,Graptolite,2,0.00891089108910891,0
Neodiplograptus charis,Graptolite,1,-5131470414461.62,0
Amplexograptus latus,Graptolite,1,-132686618019937,0
Metabolograptus ojsuensis,Graptolite,1,-1.40721406692921e+27,0
Hirsutograptus angustifolius,Graptolite,1,-1.40721406692921e+27,0
Metabolograptus daedalus,Graptolite,1,-125012034830790,0
Normalograptus normalis,Graptolite,2,238467050923695,0
Normalograptus rectangularis,Graptolite,2,441189542113997,0
Atavograptus atavus,Graptolite,2,512678661580780,0
Agetograptus secundus,Graptolite,2,1.29,0
Normalograptus sinuatus,Graptolite,2,1.29,0
Agetograptus secundus,Graptolite,1,1.24666436517069,0
Normalograptus sinuatus,Graptolite,1,1.24666436517069,0
Cystograptus vesiculosus,Graptolite,2,1.16721570131697,0
Dimorphograptus confertus nankingensis,Graptolite,2,441189542113997,0
Dimorphograptus confertus nankingensis,Graptolite,1,0.654977334734447,0
Cystograptus vesiculosus,Graptolite,1,0.400598963304315,0
Atavograptus atavus,Graptolite,1,0.099969978886886,0
Sudburigraptus angustifolius,Graptolite,2,417934045419983,0
Dicellograptus ornatus,Graptolite,2,0.012970297029703,0
Climacograptus hastatus,Graptolite,2,0.012970297029703,0
Paraorthograptus pacificus,Graptolite,2,0.012970297029703,0
Normalograptus normalis,Graptolite,1,-1500831805495.82,0
Normalograptus rectangularis,Graptolite,1,0.012970297029703,0
Dicellograptus mirabilis,Graptolite,2,0.012970297029703,0
Sudburigraptus angustifolius,Graptolite,1,0.012970297029703,0
Anticostia uniformis,Graptolite,2,0.651554038899035,0
Dicellograptus ornatus,Graptolite,1,-125880056653562,0
Dicellograptus mirabilis,Graptolite,1,-2387317584219.69,0
Anticostia uniformis,Graptolite,1,-113320399520658,0
Yinograptus disjunctus,Graptolite,2,0.012970297029703,0
Climacograptus hastatus,Graptolite,1,-20525881657846.5,0
Paraorthograptus pacificus,Graptolite,1,-1.40721406692921e+27,0
Yinograptus disjunctus,Graptolite,1,-32082218298596.1,0
Rectograptus abbreviatus,Graptolite,2,0.012970297029703,0
Rectograptus abbreviatus,Graptolite,1,-84207329159253.2,0
Normalograptus imperfectus,Graptolite,2,0.55519619810541,0
Normalograptus imperfectus,Graptolite,1,0.0938161859664228,0
Metabolograptus persculptus,Graptolite,2,0.0204950495049505,0
Metabolograptus persculptus,Graptolite,1,-1.40721406692921e+27,0
Normalograptus gracilis,Graptolite,2,417934045419983,0
Normalograptus lubricus,Graptolite,2,417934045419983,0
Normalograptus gracilis,Graptolite,1,0.0179562187723875,0
Normalograptus lubricus,Graptolite,1,61384062921060.4,0
Appendispinograptus supernus,Graptolite,2,0.0131080777980711,0
Dicellograptus minor,Graptolite,2,0.00648514851485148,0
Appendispinograptus supernus,Graptolite,1,-125012034830790,0
Dicellograptus minor,Graptolite,1,-50182673667895.5,0
Paraplegmatograptus connectus,Graptolite,2,0.0124752475247525,0
Paraplegmatograptus connectus,Graptolite,1,-125494269176775,0
Normalograptus jiangxiensis,Graptolite,2,0.932481012658228,0
Normalograptus jiangxiensis,Graptolite,1,0.0366696669666964,0
Rectograptus uniformis,Graptolite,2,0.00948316579106889,0
Paraorthograptus brevispinus,Graptolite,2,0.0094831657910689,0
Paraorthograptus brevispinus,Graptolite,1,-2951136589194.54,0
Paraorthograptus uniformis,Graptolite,2,-337641346777.819,0
Appendispinograptus leptothecalis,Graptolite,2,0.0131080777980711,0
Normalograptus tatianae,Graptolite,2,0.651554038899035,0
Appendispinograptus hubeiensis,Graptolite,2,-1094684836562.85,0
Appendispinograptus supernus sinicus,Graptolite,2,-1094684836562.85,0
Paraorthograptus longispinus,Graptolite,2,-791473548075.35,0
Paraorthograptus uniformis,Graptolite,1,-1747372428782.81,0
Anticostia fastigata,Graptolite,2,0.012970297029703,0
Normalograptus tatianae,Graptolite,1,-1906978774428.79,0
Paraorthograptus longispinus,Graptolite,1,-1906978774428.79,0
Leptograptus macer,Graptolite,2,-2385797811366.72,0
Leptograptus macer,Graptolite,1,-4693300282435.25,0
Tangyagraptus typicus,Graptolite,2,-2546015545335.5,0
Tangyagraptus grandis,Graptolite,2,-375207951373.946,0
Appendispinograptus venustus,Graptolite,2,-2772464175531.03,0
Tangyagraptus typicus,Graptolite,1,-6445435870514.34,0
Tangyagraptus grandis,Graptolite,1,-13232356619778.2,0
Appendispinograptus supernus sinicus,Graptolite,1,-6563691649020.84,0
Leptograptus extremus,Graptolite,2,-3570818898209.39,0
Anticostia fastigata,Graptolite,1,-43172146479043.5,0
Leptograptus extremus,Graptolite,1,-29903847500942.6,0
Appendispinograptus leptothecalis,Graptolite,1,-9787032366065.56,0
Pararetiograptus sinensis,Graptolite,2,-5077319107713.44,0
Dicellograptus tumidus,Graptolite,2,-1694384349910.58,0
Rectograptus uniformis,Graptolite,1,-101146529864541,0
Appendispinograptus hubeiensis,Graptolite,1,-81544612770320.6,0
Pararetiograptus magnus,Graptolite,2,-6088370028495.35,0
Appendispinograptus venustus,Graptolite,1,-15447207925736.2,0
Dicellograptus anceps,Graptolite,2,-2772464175531.03,0
Dicellograptus tumidus,Graptolite,1,-15447207925736.2,0
Rectograptus socialis,Graptolite,2,-125012034830790,0
Dicellograptus complexus,Graptolite,2,-4704640556218.01,0
Pararetiograptus magnus,Graptolite,1,-128981646825176,0
Pararetiograptus sinensis,Graptolite,1,-125012034830790,0
Dicellograptus anceps,Graptolite,1,-125012034830790,0
Pseudoclimacograptus chiai,Graptolite,2,-125012034830790,0
Rectograptus socialis,Graptolite,1,-132686618019937,0
Dicellograptus complexus,Graptolite,1,-132686618019937,0
Pseudoclimacograptus chiai,Graptolite,1,-132686618019937,0
Normalograptus wangjiawanensis,Graptolite,2,0.0205431928396921,0
Normalograptus wangjiawanensis,Graptolite,1,0.0186847147724977,0
Climacograptus tubuliferus,Graptolite,2,0.00881797459082643,0
Climacograptus tubuliferus,Graptolite,1,-313524107722.258,0
Paraplegmatograptus uniformis,Graptolite,2,0.012970297029703,0
Paraplegmatograptus uniformis,Graptolite,1,-71576753506411.3,0
Appendispinograptus longispinus hvalross,Graptolite,2,-500244809944.666,0
Diceratograptus mirus,Graptolite,2,0.012970297029703,0
Rectograptus songtaoensis,Graptolite,2,0.012970297029703,0
Diceratograptus mirus,Graptolite,1,-1999238956026.99,0
Appendispinograptus longispinus hvalross,Graptolite,1,-127558065277466,0
Rectograptus songtaoensis,Graptolite,1,-13891090026746.8,0
Dicellograptus turgidus,Graptolite,2,-2566114836644.93,0
Dicellograptus turgidus,Graptolite,1,-64018129012370.3,0
Normalograptus tortithecatus,Graptolite,2,512678661580780,0
Lagarograptus acinaces,Graptolite,2,512678661580780,0
Normalograptus minutus,Graptolite,2,512678661580780,0
Glyptograptus tamariscus linearis,Graptolite,2,512678661580780,0
Monoclimacis lunata,Graptolite,2,512678661580780,0
Glyptograptus tamariscus linearis,Graptolite,1,417934045419983,0
Monoclimacis lunata,Graptolite,1,417934045419983,0
Atavograptus strachani,Graptolite,2,268529073781806,0
Atavograptus tenellus,Graptolite,2,268529073781806,0
Glyptograptus tangshanensis,Graptolite,2,268529073781806,0
Normalograptus lunata,Graptolite,2,268529073781806,0
Normalograptus minutus,Graptolite,1,268529073781806,0
Atavograptus strachani,Graptolite,1,122768125842121,0
Atavograptus tenellus,Graptolite,1,122768125842121,0
Glyptograptus tangshanensis,Graptolite,1,122768125842121,0
Lagarograptus acinaces,Graptolite,1,122768125842121,0
Normalograptus lunata,Graptolite,1,122768125842121,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,2,1.29,0
Atavograptus gracilis,Graptolite,2,0.986091836734694,0
Dimorphograptus malayensis,Graptolite,2,0.986091836734694,0
Orthograptus lingulatus,Graptolite,2,0.986091836734694,0
Orthograptus lingulatus,Graptolite,1,0.5,0
Atavograptus gracilis,Graptolite,1,0.215596511355128,0
Dimorphograptus malayensis,Graptolite,1,0.215596511355128,0
Normalograptus tortithecatus,Graptolite,1,0.215596511355128,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,1,0.215596511355128,0
Metabolograptus extraordinarius variabilis,Graptolite,2,0.0179562187723875,0
Metabolograptus extraordinarius variabilis,Graptolite,1,0.0144721074049152,0
Dicellograptus graciliramosus,Graptolite,2,-750415902747.903,0
Appendispinograptus sinicus,Graptolite,2,-1694384349910.58,0
Normalograptus mohawkensis,Graptolite,2,-1854756458139.95,0
Paraorthograptus affinis,Graptolite,2,-1854756458139.95,0
Appendispinograptus sinicus,Graptolite,1,-1854756458139.95,0
Paraorthograptus affinis,Graptolite,1,-1965357912091.23,0
Rectograptus amplexicaulis,Graptolite,2,-2656004880001.9,0
Leptograptus planus,Graptolite,2,-2656004880001.9,0
Normalograptus mohawkensis,Graptolite,1,-2656004880001.9,0
Orthograptus maximus,Graptolite,2,-3570818898209.39,0
Dicellograptus complanatus arkansasensis,Graptolite,2,-4693300282435.25,0
Leptograptus annectans amplectens,Graptolite,2,-4693300282435.25,0
Dicellograptus graciliramosus,Graptolite,1,-4693300282435.25,0
Leptograptus planus,Graptolite,1,-4693300282435.25,0
Orthograptus maximus,Graptolite,1,-4693300282435.25,0
Leptograptus annectans amplectens,Graptolite,1,-13891090026746.8,0
Rectograptus amplexicaulis,Graptolite,1,-13891090026746.8,0
Dicellograptus complanatus arkansasensis,Graptolite,1,-32082218298596.1,0
Rectograptus intermedius,Graptolite,2,-66146762905639.4,0
Dicellograptus tenuiculus,Graptolite,2,-66146762905639.4,0
Dicellograptus complanatus,Graptolite,2,-113320399520658,0
Dicellograptus tenuiculus,Graptolite,1,-113320399520658,0
Amplexograptus longispinus,Graptolite,2,-127558065277466,0
Dicellograptus complanatus,Graptolite,1,-127558065277466,0
Rectograptus intermedius,Graptolite,1,-127558065277466,0
Amplexograptus longispinus,Graptolite,1,-132686618019937,0
Sudburigraptus robustus,Graptolite,2,441189542113997,0
Sudburigraptus robustus,Graptolite,1,52241755677498.2,0
Paraclimacograptus jinyangensis,Graptolite,2,104483511354996,0
Neodiplograptus guantangyuanensis,Graptolite,2,0.2043017110961,0
Paraclimacograptus jinyangensis,Graptolite,1,0.0287565488053907,0
Neodiplograptus guantangyuanensis,Graptolite,1,-1.05541055019688e+27,0
Climacograptus hastatus vesicicaulis,Graptolite,2,-2845474309509.82,0
Climacograptus hastatus vesicicaulis,Graptolite,1,-3570818898209.39,0
Cystograptus ancestralis,Graptolite,2,208967022709992,0
Cystograptus ancestralis,Graptolite,1,0.635711056246659,0
Paramplexograptus kiliani,Graptolite,2,0.167379810732261,0
Paramplexograptus kiliani,Graptolite,1,-5.6288562677167e+27,0
Rectograptus obesus,Graptolite,2,26120877838749.1,0
Paraorthograptus tenuis,Graptolite,2,-2831972519170.02,0
Rectograptus obesus,Graptolite,1,-68684289014294.7,0
Paraorthograptus tenuis,Graptolite,1,-68684289014294.7,0
Normalograptus medius,Graptolite,2,1.29,0
Neodiplograptus shanchongensis,Graptolite,2,1.29,0
Normalograptus subtilis,Graptolite,2,1.29,0
Neodiplograptus shanchongensis,Graptolite,1,-62506017415395,0
Normalograptus subtilis,Graptolite,1,0.366758685701594,0
Normalograptus medius,Graptolite,1,0.0205431928396921,0
Dictyonema cucurbitinum,Graptolite,2,0.95,0
Dictyonema cucurbitinum,Graptolite,1,0.197452018400182,0
Hirsutograptus longus,Graptolite,2,0.55519619810541,0
Hirsutograptus longus,Graptolite,1,0.0130716569296458,0
Normalograptus trifilis,Graptolite,2,0.488076923076923,0
Metabolograptus nanjingensis,Graptolite,2,0.707295516442909,0
Metabolograptus nanjingensis,Graptolite,1,0.353379120879121,0
Hirsutograptus tuberculatus,Graptolite,2,0.2043017110961,0
Korenograptus zhui,Graptolite,2,0.2043017110961,0
Hirsutograptus tuberculatus,Graptolite,1,0.137867537106408,0
Korenograptus zhui,Graptolite,1,0.137867537106408,0
Normalograptus trifilis,Graptolite,1,0.137867537106408,0
Dimorphograptus confertus,Graptolite,2,256339330790390,0
Normalograptus pseudonormalis,Graptolite,2,256339330790390,0
Metaclimacograptus pictus,Graptolite,2,0.799348984976394,0
Dimorphograptus confertus,Graptolite,1,0.799348984976394,0
Normalograptus pseudonormalis,Graptolite,1,0.799348984976394,0
Hirsutograptus robustus,Graptolite,2,0.712728988904516,0
Hirsutograptus robustus,Graptolite,1,0.586506660348258,0
Akidograptus giganteus,Graptolite,2,0.55519619810541,0
Metabolograptus parvulus,Graptolite,2,0.517758503401361,0
Metabolograptus rhizimus,Graptolite,2,0.517758503401361,0
Akidograptus giganteus,Graptolite,1,0.395305962555962,0
Metaclimacograptus pictus,Graptolite,1,0.395305962555962,0
Normalograptus minor,Graptolite,2,0.0523927392739274,0
Normalograptus minor,Graptolite,1,0.0124724876341171,0
Metabolograptus rhizimus,Graptolite,1,-62506017415395,0
Metabolograptus parvulus,Graptolite,1,-2.81442813385838e+27,0
Dimorphograptus longicaudatus,Graptolite,2,366636716318890,0
Dimorphograptus longicaudatus,Graptolite,1,26120877838749.1,0
Dicellograptus planus,Graptolite,2,-375207951373.946,0
Normalograptus acutus,Graptolite,2,-375207951373.946,0
Dicellograptus planus,Graptolite,1,-1500831805495.82,0
Normalograptus acutus,Graptolite,1,-1500831805495.82,0
Pararetiograptus uniformis,Graptolite,2,-2317788127154.53,0
Pararetiograptus uniformis,Graptolite,1,-13232356619778.2,0
