Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,0,0
Amplexograptus latus,Graptolite,2,1.5688829787234,0
Metabolograptus extraordinarius,Graptolite,1,-686245670213537,0
Metabolograptus extraordinarius,Graptolite,2,1.63998394219189,0
Metabolograptus ojsuensis,Graptolite,1,0,0
Metabolograptus ojsuensis,Graptolite,2,1.63998394219189,0
Normalograptus angustus,Graptolite,1,0,0
Normalograptus angustus,Graptolite,2,4.32574385417145e+15,0
Korenograptus lungmaensis,Graptolite,1,0,0
Korenograptus lungmaensis,Graptolite,2,4.78,0
Metabolograptus avitus,Graptolite,1,-1.37249134042707e+15,0
Metabolograptus avitus,Graptolite,2,3.42454721788574e+15,0
Akidograptus ascensus,Graptolite,1,0.025,0
Akidograptus ascensus,Graptolite,2,2.16287192708573e+15,0
Korenograptus laciniosus,Graptolite,1,0,0
Korenograptus laciniosus,Graptolite,2,5.571,0
Metabolograptus bicaudatus,Graptolite,1,0,0
Metabolograptus bicaudatus,Graptolite,2,2.66229166666667,0
Paraclimacograptus innotatus,Graptolite,1,1.38,0
Paraclimacograptus innotatus,Graptolite,2,4.78,0
Parakidograptus acuminatus,Graptolite,1,1.46378610573823,0
Parakidograptus acuminatus,Graptolite,2,3.18,0
Normalograptus mirnyensis,Graptolite,1,0.05,0
Normalograptus mirnyensis,Graptolite,2,4.23482056451613,0
Neodiplograptus parajanus,Graptolite,1,1.79,0
Neodiplograptus parajanus,Graptolite,2,4.78,0
Neodiplograptus modestus,Graptolite,1,0.266464372778806,0
Neodiplograptus modestus,Graptolite,2,5.345,0
Atavograptus primitivus,Graptolite,1,0.666533505154639,0
Atavograptus primitivus,Graptolite,2,2.2,0
Hirsutograptus sinitzini,Graptolite,1,1.95588198757764,0
Hirsutograptus sinitzini,Graptolite,2,4.4975,0
Hirsutograptus angustifolius,Graptolite,1,0,0
Hirsutograptus angustifolius,Graptolite,2,2.59792137443778,0
Metabolograptus daedalus,Graptolite,1,0,0
Metabolograptus daedalus,Graptolite,2,0.3,0
Normalograptus ajjeri,Graptolite,1,0,0
Normalograptus ajjeri,Graptolite,2,5.571,0
Neodiplograptus charis,Graptolite,1,0.266464372778806,0
Neodiplograptus charis,Graptolite,2,0.71,0
Metabolograptus rhizinus,Graptolite,1,0.58,0
