Event_Name,Event_number,Type,Depth,FIX
Normalograptus tortithecatus,Graptolite,1,15.03,0
Normalograptus tortithecatus,Graptolite,2,17,0
Paraclimacograptus innotatus,Graptolite,1,14.83,0
Paraclimacograptus innotatus,Graptolite,2,16.365,0
Parakidograptus acuminatus,Graptolite,1,13.1253763370155,0
Parakidograptus acuminatus,Graptolite,2,15.73,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,1,15.03,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,2,15.73,0
Orthograptus lingulatus,Graptolite,1,15.28,0
Orthograptus lingulatus,Graptolite,2,15.48,0
Atavograptus atavus,Graptolite,1,14.9748989688049,0
Atavograptus atavus,Graptolite,2,17,0
Atavograptus strachani,Graptolite,1,15.93,0
Atavograptus strachani,Graptolite,2,16.33,0
Atavograptus tenellus,Graptolite,1,15.93,0
Atavograptus tenellus,Graptolite,2,16.33,0
Glyptograptus tangshanensis,Graptolite,1,15.93,0
Glyptograptus tangshanensis,Graptolite,2,16.33,0
Lagarograptus acinaces,Graptolite,1,15.93,0
Lagarograptus acinaces,Graptolite,2,17,0
Normalograptus lunata,Graptolite,1,15.93,0
Normalograptus lunata,Graptolite,2,16.33,0
Normalograptus minutus,Graptolite,1,16.33,0
Normalograptus minutus,Graptolite,2,17,0
Glyptograptus tamariscus linearis,Graptolite,1,16.74,0
Glyptograptus tamariscus linearis,Graptolite,2,17,0
Monoclimacis lunata,Graptolite,1,16.74,0
Monoclimacis lunata,Graptolite,2,17,0
Neodiplograptus modestus,Graptolite,2,16.74,0
Normalograptus mirnyensis,Graptolite,2,16.0445017922794,0
Normalograptus jiangxiensis,Graptolite,2,15.73,0
Hirsutograptus sinitzini,Graptolite,2,16.2278448883325,0
Paramplexograptus madernii,Graptolite,2,15.6456976744186,0
Hirsutograptus sinitzini,Graptolite,1,15.1155066320398,0
Paramplexograptus madernii,Graptolite,1,12.8042424242424,0
Neodiplograptus modestus,Graptolite,1,8.47884128404993,0
Normalograptus jiangxiensis,Graptolite,1,15.1322727272727,0
Normalograptus mirnyensis,Graptolite,1,0,0
Dicellograptus mirabilis,Graptolite,2,12.698253968254,0
Dicellograptus mirabilis,Graptolite,1,10.1292786553724,0
Paraorthograptus uniformis,Graptolite,2,14.0717323565367,0
Normalograptus tatianae,Graptolite,2,13.0817926856536,0
Appendispinograptus supernus sinicus,Graptolite,2,10.7912121212121,0
Paraorthograptus longispinus,Graptolite,2,14.2001587301587,0
Paraorthograptus uniformis,Graptolite,1,10.5519898822386,0
Normalograptus tatianae,Graptolite,1,10.439414710957,0
Paraorthograptus longispinus,Graptolite,1,10.439414710957,0
Tangyagraptus grandis,Graptolite,2,11.4555208333333,0
Tangyagraptus grandis,Graptolite,1,6.53,0
Appendispinograptus supernus sinicus,Graptolite,1,7.962,0
Pseudoclimacograptus chiai,Graptolite,2,4.1125,0
Pseudoclimacograptus chiai,Graptolite,1,0.5825,0
Normalograptus ajjeri,Graptolite,2,16.746,0
Metabolograptus wangjiawanensis,Graptolite,2,16.365,0
Hirsutograptus comantis,Graptolite,2,16.365,0
Hirsutograptus similaris,Graptolite,2,16.365,0
Dimorphograptus confertus,Graptolite,2,16.365,0
Normalograptus pseudonormalis,Graptolite,2,16.365,0
Korenograptus jerini,Graptolite,2,16.0445017922794,0
Metabolograptus guizhouensis,Graptolite,2,15.6987378875969,0
Akidograptus cuneatus,Graptolite,2,15.6987378875969,0
Metaclimacograptus pictus,Graptolite,2,15.6987378875969,0
Dimorphograptus confertus,Graptolite,1,15.6987378875969,0
Normalograptus pseudonormalis,Graptolite,1,15.6987378875969,0
Paramplexograptus wuningensis,Graptolite,2,15.6674757751938,0
Normalograptus targuii,Graptolite,2,15.6674757751938,0
Hirsutograptus robustus,Graptolite,2,15.6674757751938,0
Neodiplograptus anhuiensis,Graptolite,2,15.6518447189923,0
Cystograptus ancestralis,Graptolite,2,15.6421286447322,0
Neodiplograptus parajanus,Graptolite,2,16.365,0
Neodiplograptus anhuiensis,Graptolite,1,15.0969704563015,0
Cystograptus ancestralis,Graptolite,1,15.6331599607999,0
Metabolograptus nanjingensis,Graptolite,2,15.6256860575229,0
Normalograptus anjiensis,Graptolite,2,15.6137278122798,0
Paramplexograptus wuningensis,Graptolite,1,14.83,0
Hirsutograptus robustus,Graptolite,1,15.603264347692,0
Hirsutograptus angustifolius,Graptolite,2,15.593548273432,0
Hirsutograptus jinyangensis,Graptolite,2,15.593548273432,0
Korenograptus pseudotamariscus,Graptolite,2,15.4716666666667,0
Hirsutograptus longus,Graptolite,2,15.5134469854274,0
Hirsutograptus jideliensis,Graptolite,2,15.4716666666667,0
Normalograptus imperfectus,Graptolite,2,15.4716666666667,0
Akidograptus giganteus,Graptolite,2,15.4716666666667,0
Korenograptus pseudotamariscus,Graptolite,1,7.465,0
Hirsutograptus longus,Graptolite,1,15.1854974916388,0
Hirsutograptus comantis,Graptolite,1,15.2626923076923,0
Metabolograptus parvulus,Graptolite,2,15.2626923076923,0
Metabolograptus rhizimus,Graptolite,2,15.2626923076923,0
Paramplexograptus paucispinus,Graptolite,2,15.1878983516484,0
Hirsutograptus tenuis,Graptolite,2,15.3769103555722,0
Neodiplograptus parajanus,Graptolite,1,14.8940625,0
Hirsutograptus tenuis,Graptolite,1,15.1172596153846,0
Metabolograptus nanjingensis,Graptolite,1,15.1172596153846,0
Normalograptus imperfectus,Graptolite,1,15.1172596153846,0
Akidograptus cuneatus,Graptolite,1,15.1172596153846,0
Akidograptus giganteus,Graptolite,1,15.1172596153846,0
Metaclimacograptus pictus,Graptolite,1,15.1172596153846,0
Atavograptus primitivus,Graptolite,2,15.0784342805632,0
